symbol,name,sector
DLF.NS,DLF,Realty
VEDL.NS,Vedanta,Metals
ICICIPRULI.NS,ICICI Prudential Life,Insurance
ICICIGI.NS,ICICI Lombard,Insurance
SRF.NS,SRF,Chemicals
TORNTPHARM.NS,Torrent Pharmaceuticals,Pharma
NAUKRI.NS,Info Edge India,Internet
ADANIGREEN.NS,Adani Green Energy,Power
ADANIPOWER.NS,Adani Power,Power
IOC.NS,Indian Oil Corp,Energy
PFC.NS,Power Finance Corp,NBFC
RECLTD.NS,REC,NBFC
CHOLAFIN.NS,Cholamandalam Investment,NBFC
ETERNAL.NS,Eternal (formerly Zomato),Internet
JIOFIN.NS,Jio Financial Services,Financial Services
TVSMOTOR.NS,TVS Motor,Auto
VBL.NS,Varun Beverages,FMCG
BEL.NS,Bharat Electronics,Defence
HAL.NS,Hindustan Aeronautics,Defence
TRENT.NS,Trent,Retail
LICI.NS,Life Insurance Corp,Insurance
ABB.NS,ABB India,Capital Goods
INDIGO.NS,InterGlobe Aviation,Aviation
COLPAL.NS,Colgate-Palmolive India,FMCG
MARICO.NS,Marico,FMCG
BERGEPAINT.NS,Berger Paints,Consumer
GICRE.NS,General Insurance Corp,Insurance
MOTHERSON.NS,Samvardhana Motherson,Auto Ancillary
BOSCHLTD.NS,Bosch,Auto Ancillary
PAGEIND.NS,Page Industries,Textiles
MUTHOOTFIN.NS,Muthoot Finance,NBFC
BAJAJHLDNG.NS,Bajaj Holdings,Financial Services
INDUSTOWER.NS,Indus Towers,Telecom
TATAPOWER.NS,Tata Power,Power
CANBK.NS,Canara Bank,Banking
UNIONBANK.NS,Union Bank of India,Banking
IDFCFIRSTB.NS,IDFC First Bank,Banking
FEDERALBNK.NS,Federal Bank,Banking
AUBANK.NS,AU Small Finance Bank,Banking
BANDHANBNK.NS,Bandhan Bank,Banking
LUPIN.NS,Lupin,Pharma
AUROPHARMA.NS,Aurobindo Pharma,Pharma
ALKEM.NS,Alkem Laboratories,Pharma
ZYDUSLIFE.NS,Zydus Lifesciences,Pharma
MANKIND.NS,Mankind Pharma,Pharma
MAXHEALTH.NS,Max Healthcare,Healthcare
INDHOTEL.NS,Indian Hotels,Hospitality
JUBLFOOD.NS,Jubilant FoodWorks,FMCG
UBL.NS,United Breweries,FMCG
PERSISTENT.NS,Persistent Systems,IT
COFORGE.NS,Coforge,IT
MPHASIS.NS,Mphasis,IT
OFSS.NS,Oracle Financial Services,IT
POLYCAB.NS,Polycab India,Consumer Durables
DIXON.NS,Dixon Technologies,Consumer Durables
ASTRAL.NS,Astral,Building Materials
SUPREMEIND.NS,Supreme Industries,Plastics
BALKRISIND.NS,Balkrishna Industries,Auto Ancillary
MRF.NS,MRF,Auto Ancillary
APOLLOTYRE.NS,Apollo Tyres,Auto Ancillary
ASHOKLEY.NS,Ashok Leyland,Auto
ESCORTS.NS,Escorts Kubota,Auto
CUMMINSIND.NS,Cummins India,Capital Goods
ABBOTINDIA.NS,Abbott India,Pharma
GLAND.NS,Gland Pharma,Pharma
BIOCON.NS,Biocon,Pharma
IPCALAB.NS,IPCA Laboratories,Pharma
PIIND.NS,PI Industries,Chemicals
DEEPAKNTR.NS,Deepak Nitrite,Chemicals
TATACHEM.NS,Tata Chemicals,Chemicals
UPL.NS,UPL,Chemicals
JINDALSTEL.NS,Jindal Steel & Power,Metals
NMDC.NS,NMDC,Mining
SAIL.NS,Steel Authority of India,Metals
NATIONALUM.NS,National Aluminium,Metals
HINDPETRO.NS,Hindustan Petroleum,Energy
PETRONET.NS,Petronet LNG,Energy
IGL.NS,Indraprastha Gas,Energy
GUJGASLTD.NS,Gujarat Gas,Energy
OBEROIRLTY.NS,Oberoi Realty,Realty
GODREJPROP.NS,Godrej Properties,Realty
PRESTIGE.NS,Prestige Estates,Realty
LODHA.NS,Macrotech Developers,Realty
LTTS.NS,L&T Technology Services,IT
KPITTECH.NS,KPIT Technologies,IT
TATAELXSI.NS,Tata Elxsi,IT
IRCTC.NS,Indian Railway Catering,Travel
IRFC.NS,Indian Railway Finance Corp,NBFC
CONCOR.NS,Container Corp of India,Logistics
ABCAPITAL.NS,Aditya Birla Capital,Financial Services
SBICARD.NS,SBI Cards & Payment,NBFC
HDFCAMC.NS,HDFC Asset Management,AMC
NHPC.NS,NHPC,Power
SJVN.NS,SJVN,Power
ACC.NS,ACC,Cement
SHREECEM.NS,Shree Cement,Cement
DALBHARAT.NS,Dalmia Bharat,Cement
PHOENIXLTD.NS,Phoenix Mills,Realty
CGPOWER.NS,CG Power & Industrial,Capital Goods
THERMAX.NS,Thermax,Capital Goods
BHEL.NS,Bharat Heavy Electricals,Capital Goods
BDL.NS,Bharat Dynamics,Defence
MAZDOCK.NS,Mazagon Dock Shipbuilders,Defence
SOLARINDS.NS,Solar Industries,Chemicals
KALYANKJIL.NS,Kalyan Jewellers,Retail
POLICYBZR.NS,PB Fintech,Internet
PAYTM.NS,One 97 Communications,Internet
NYKAA.NS,FSN E-Commerce (Nykaa),Internet
DELHIVERY.NS,Delhivery,Logistics
